"File","Line","Char","CP","Entity"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","8","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","9","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","13","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","20","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","100","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","110","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","173","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","204","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","363","…","U+2026","&hellip;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","365","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","394","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\balanceador-ecuaciones\index.html","419","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","4","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","13","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","104","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","131","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","140","—","U+2014","&mdash;"
"C:\Users\Usuario\Documents\engsim\engsim\simulators\gas-combustion\index.html","145","—","U+2014","&mdash;"
